opt_algorithm,minmax,L,threshold,lgs,area,cgal_area,pick_area,ratio,ratio_change,time,is_simple,points,points_on_poly,in_file
simulated_annealing,max,5000,-1,3,138592879472,138592879472,-1,0.911346,-1.000000,0.361,1,15,15,stars-0000015
simulated_annealing,max,10000,-1,3,138592879472,138592879472,-1,0.911346,-1.000000,0.198,1,15,15,stars-0000015
simulated_annealing,min,1000,-1,3,188488,188488,-1,0.454707,-1.000000,0.166,1,15,15,uniform-0000015-2
simulated_annealing,min,5000,-1,3,188488,188488,-1,0.454707,-1.000000,0.172,1,15,15,uniform-0000015-2
simulated_annealing,min,10000,-1,3,188488,188488,-1,0.454707,-1.000000,0.207,1,15,15,uniform-0000015-2
simulated_annealing,max,1000,-1,3,363646,363646,-1,0.877257,-1.000000,0.207,1,15,15,uniform-0000015-2
simulated_annealing,max,5000,-1,3,363646,363646,-1,0.877257,-1.000000,0.206,1,15,15,uniform-0000015-2
simulated_annealing,max,10000,-1,3,363646,363646,-1,0.877257,-1.000000,0.203,1,15,15,uniform-0000015-2
simulated_annealing,min,1000,-1,3,59457680,59457680,-1,0.266428,-1.000000,0.618,1,20,20,london-0000020
simulated_annealing,min,5000,-1,3,59457680,59457680,-1,0.266428,-1.000000,0.358,1,20,20,london-0000020
simulated_annealing,min,10000,-1,3,59457680,59457680,-1,0.266428,-1.000000,0.355,1,20,20,london-0000020
simulated_annealing,max,1000,-1,3,191908938,191908938,-1,0.859938,-1.000000,0.544,1,20,20,london-0000020
simulated_annealing,max,5000,-1,3,191908938,191908938,-1,0.859938,-1.000000,0.52,1,20,20,london-0000020
simulated_annealing,max,10000,-1,3,191908938,191908938,-1,0.859938,-1.000000,0.488,1,20,20,london-0000020
simulated_annealing,min,1000,-1,3,71715666910,71715666910,-1,0.313231,-1.000000,0.357,1,20,20,stars-0000020
simulated_annealing,min,5000,-1,3,71715666910,71715666910,-1,0.313231,-1.000000,0.368,1,20,20,stars-0000020
simulated_annealing,min,10000,-1,3,71715666910,71715666910,-1,0.313231,-1.000000,0.377,1,20,20,stars-0000020
simulated_annealing,max,1000,-1,3,215958644698,215958644698,-1,0.943238,-1.000000,0.369,1,20,20,stars-0000020
simulated_annealing,max,5000,-1,3,215958644698,215958644698,-1,0.943238,-1.000000,0.368,1,20,20,stars-0000020
simulated_annealing,max,10000,-1,3,215958644698,215958644698,-1,0.943238,-1.000000,0.544,1,20,20,stars-0000020
simulated_annealing,min,1000,-1,3,266026,266026,-1,0.301758,-1.000000,0.393,1,20,20,uniform-0000020-1
simulated_annealing,min,5000,-1,3,266026,266026,-1,0.301758,-1.000000,0.344,1,20,20,uniform-0000020-1
simulated_annealing,min,10000,-1,3,266026,266026,-1,0.301758,-1.000000,0.34,1,20,20,uniform-0000020-1
simulated_annealing,max,1000,-1,3,721944,721944,-1,0.818915,-1.000000,0.591,1,20,20,uniform-0000020-1
simulated_annealing,max,5000,-1,3,721944,721944,-1,0.818915,-1.000000,0.386,1,20,20,uniform-0000020-1
simulated_annealing,max,10000,-1,3,721944,721944,-1,0.818915,-1.000000,0.473,1,20,20,uniform-0000020-1
simulated_annealing,min,1000,-1,3,24070216,24070216,-1,0.414857,-1.000000,0.686,1,20,20,us-night-0000020
simulated_annealing,min,5000,-1,3,24070216,24070216,-1,0.414857,-1.000000,1.068,1,20,20,us-night-0000020
simulated_annealing,min,10000,-1,3,24070216,24070216,-1,0.414857,-1.000000,0.616,1,20,20,us-night-0000020
simulated_annealing,max,1000,-1,3,52938848,52938848,-1,0.912416,-1.000000,0.437,1,20,20,us-night-0000020
simulated_annealing,max,5000,-1,3,52938848,52938848,-1,0.912416,-1.000000,0.343,1,20,20,us-night-0000020
simulated_annealing,max,10000,-1,3,52938848,52938848,-1,0.912416,-1.000000,0.322,1,20,20,us-night-0000020
simulated_annealing,min,1000,-1,3,188562,188562,-1,0.215974,-1.000000,0.309,1,20,20,uniform-0000020-2
simulated_annealing,min,5000,-1,3,188562,188562,-1,0.215974,-1.000000,0.407,1,20,20,uniform-0000020-2
simulated_annealing,min,10000,-1,3,188562,188562,-1,0.215974,-1.000000,0.392,1,20,20,uniform-0000020-2
simulated_annealing,max,1000,-1,3,773048,773048,-1,0.885430,-1.000000,0.339,1,20,20,uniform-0000020-2
simulated_annealing,max,5000,-1,3,773048,773048,-1,0.885430,-1.000000,0.337,1,20,20,uniform-0000020-2
simulated_annealing,max,10000,-1,3,773048,773048,-1,0.885430,-1.000000,0.341,1,20,20,uniform-0000020-2
